PRICING_EFFECTIVE_DATE,PRICING_END_DATE,SALES_CHANNEL_TYPE,CUSTOMER_TYPE_CODE,ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
2022-05-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,41671,TOSCANA - BIBI GRAETZ TESTAMATTA 2018,6.2699E+11,0.75,1,14,185.99,0
2021-03-19 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,45548,PINOT GRIS - GC CLOS ST URBAIN DOMAINE ZIND HUMBRECHT 2018,3.76016E+12,0.75,1,13.5,159.99,1
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,96985,ST ESTEPHE - CHATEAU ORMES DE PEZ 2018,3.76002E+12,0.75,1,13,75,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,140175,SAUVIGNON BLANC - NOBLE VINES 242,82242010924,0.75,1,12,18.99,0
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,160358,MERLOT  DONINI,8.00016E+12,1,1,11.1,12.99,0
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,185967,CABERNET SAUVIGNON - CAYMUS SPECIAL SELECTION NAPA 2018,17224720102,0.75,1,15.4,239.99,0
2023-01-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,189290,GLENFARCLAS - 40 YEAR OLD,5.01807E+12,0.7,1,43,2100,NA
2023-06-04 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Champagne Wine,FRANCE,195818,POL ROGER - RESERVE BRUT,89744161505,0.375,1,12,51.99,0
2023-11-16 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,249238,ALSACE PINOT GRIS - DOMAINE WEINBACH MARCKRAIN GRAND CRU,3.43404E+12,0.75,1,14,139.99,0
2023-11-03 0:00,9999-12-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Spirit Coolers,CANADA,354577,SEVENTH HEAVEN - RASPBERY AND HIBISCUS GIN COCKTAIL CAN,57496013779,0.355,4,7,12.99,NA
2023-08-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,371755,PESSAC LEOGNAN - CHATEAU LES CARMES HAUT BRION 2020,,0.75,1,13,250,NA
2023-01-12 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,460028,DUNCAN TAYLOR - CAPERDONICH RAREST,5.05651E+12,0.7,1,47.9,18800,NA
2023-10-29 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy White Wine,ITALY,501979,VERNACCIA DI SAN GIMIGNANO - LE CALCINAIE 2022,8.03254E+12,0.75,1,13,35.99,0
2023-07-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,New Zealand Wine,New Zealand White Wine,NEW ZEALAND,614420,SAUVIGNON BLANC - CRAGGY RANGE TE MUNA MARTINBOROUGH,9.421E+12,0.75,1,13.5,31.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,887968,BRUNELLO DI MONTALCINO - ARGIANO 2018,8.02293E+12,1.5,1,14,189.99,0
2016-09-16 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,961086,CHATEAU LAFITE ROTHSCHILD 2013,,0.75,1,13,1200,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,15005,STELLA ARTOIS - CAN,62067382277,0.355,12,5,28.49,NA
2022-03-06 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,51116,NARAMATA RANCH VINEYARD - MARTIN'S LANE PINOT NOIR 2016,7.76546E+11,0.75,1,14.5,99.99,0
2022-06-05 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,67205,FRIND ESTATE WINERY - PINOT NOIR CUVEE,6.2699E+11,0.75,1,12.6,23.99,0
2021-08-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,122955,POMEROL - CHATEAU L'EGLISE CLINET 2018,,0.75,1,13,700,NA
2023-11-26 0:00,9999-12-31 0:00,RETAIL,COU,Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,132106,FOUR WINDS - HUFTGOLD TALL CAN,8.50507E+11,0.473,4,5.4,13.99,NA
2020-09-12 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,227149,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 2017,,0.75,1,13,1500,NA
2023-11-26 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Rose Wine,FRANCE,237228,PROVENCE ROSE - DESCLANS WHISPERING ANGEL,3.76017E+12,0.375,1,13,22.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Spirits,Vodka,Straight Vodka,LATVIA,290361,STOLI - GOLD,4.75002E+12,0.75,1,40,36.99,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,358341,ANCNOC - 12 YEAR OLD,5.01051E+12,0.7,1,40,81.99,0
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,362635,PESSAC LEOGNAN - CHATEAU OLIVIER BLANC 2020,3.76007E+12,0.75,1,13,70,NA
2023-08-12 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,382113,ST ESTEPHE - PAGODES DE COS 2020,,0.75,1,13,95,NA
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Spirit Coolers,CANADA,412332,COORS SELTZER - SLUSHIE CHERRY CAN,56327022560,0.355,6,4.5,15.79,NA
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,419609,ST EMILION - CARILLON DE L'ANGELUS 2020,,0.75,1,14.5,200,NA
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Chile Wine,Chile Red Wine,CHILE,439166,CARMENERE - CARMEN GRAN RESERVA APALTA 2018,6.77759E+11,0.75,1,13.5,19.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,535658,CEDARCREEK - MERITAGE,7.78913E+11,0.75,1,14.3,29.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Refreshment Beverages,Cider,Domestic Cider,CANADA,777631,LONETREE GINGER APPLE DRY CIDER CAN,6.2699E+11,0.355,6,5.5,13.79,NA
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Chile Wine,Chile Red Wine,CHILE,102192,CABERNET SAUVIGNON - 8 RIOS CHILE 2022,7.80432E+12,0.75,1,12,13.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Champagne Wine,FRANCE,132900,BEAUMONT DES CRAYERES - JACQUES LORENT GRANDE  RESERVE,3.463E+12,0.75,1,12,51.99,0
2018-08-18 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,189194,PAUILLAC - CHATEAU LAFITE ROTHSCHILD 1999,3.44882E+12,0.75,1,12.5,2600,0
2023-08-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,347226,MARGAUX - PAVILLON ROUGE DU CHATEAU MARGAUX 2020,,0.75,1,12.5,500,NA
2023-08-06 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,357702,HAUT MEDOC - CHATEAU CAMENSAC 2020,3.60905E+12,0.75,1,12.5,70,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Gin,Flavoured Gin,FRANCE,394893,MAISON FERRAND - CITADELLE VIVE LE CORNICHON,6.95521E+11,0.7,1,43.8,79.99,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Rose Wine,FRANCE,497685,PROVENCE ROSE - D'ESCLANS WHISPERING ANGEL 2023,3.66614E+12,0.75,1,12.5,40.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,ITALY,510008,SAMBUCA DEI CESARI - LUXARDO,8.00035E+12,1.14,1,38,44.99,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC White Wine,CANADA,18812,MISSION HILL - RESERVE CHARDONNAY 2020,7.76546E+11,0.75,1,13.5,26.99,1
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Vodka,Straight Vodka,CANADA,70375,G AND W DISTILLING - SID THE HANDCRAFTED VODKA,6.27843E+11,0.75,1,40,30.99,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,98067,GLENMORANGIE - 10 YEAR OLD THE ORIGINAL,81753810832,1.75,1,40,211.99,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,306418,LUSSAC ST EMILION - CHATEAU BEL-AIR JEAN AND GABRIEL 2020,3.49595E+12,0.75,1,14,45,NA
2023-05-12 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,324001,WOODFORD RESERVE - MASTER'S COLLECTION HISTORIC BARREL ENTRY,81128003227,0.7,1,45.2,189.99,NA
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,347711,ST JULIEN - CHATEAU LEOVILLE POYFERRE 2020,3.60905E+12,0.75,1,13,225,NA
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,371730,POMEROL - CHATEAU LA GRAVE 2020,3.32816E+12,0.75,1,13,90,NA
2023-07-30 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,430002,ELIJAH CRAIG - PRIVATE BARREL 2022,96749004492,0.75,1,64.5,104.99,NA
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,465727,PAUILLAC - CHATEAU D'ARMAILHAC 2020,3.26216E+12,0.75,1,13,120,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Gin,Dry Gin,UNITED KINGDOM,543173,HENDRICK'S GIN,5.01033E+12,0.375,1,44,30.49,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,581645,COTES DU RHONE - LOUIS BERNARD,6.04174E+11,0.75,1,13,15.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC White Wine,CANADA,696852,LOST INHIBITIONS - PINOT GRIS,6.96852E+11,0.75,1,12.9,18.99,1
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Rum,Amber Rum,CANADA,2808,BACARDI - GOLD,6.20213E+11,0.375,1,40,12.49,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Rose Wine,CANADA,78989,SAINTLY - THE GOOD ROSE 2020,63657041536,0.75,1,12.5,19.99,1
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,83488,CABERNET SAUVIGNON - THREE FINGER JACK LODI EASTSIDE,82242014847,0.75,1,15,24.99,0
2023-10-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,176410,HIGHLAND PARK - TWISTED TATTOO,8.12066E+11,0.75,1,46.7,118.99,NA
2023-08-18 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,178415,OLD PULTENEY - 15 YEAR OLD,6.3207E+11,0.75,1,46,154.99,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Spirits,Whisky,Irish Whiskey,IRELAND,209544,WRITERS TEARS - COPPER POT STILL,5.09981E+12,0.7,1,40,69.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,226098,MONTEPULCIANO D'ABRUZZO - ANGELO,8.03377E+12,0.75,1,13,10.99,0
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Asian Spirits,China Spirits,CHINA,279078,ANJIU - RESERVE,6.97542E+12,0.5,1,53,109.49,NA
2023-07-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,347727,ST JULIEN - CHATEAU LEOVILLE LAS CASES 2020,3.70137E+12,0.75,1,13,590,NA
2023-08-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,357729,MARGAUX - CHATEAU GISCOURS 2020,,0.75,1,12.5,145,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Sparkling Wine,ITALY,366427,FERRARI - TRENTO BRUT METODO CLASSICO,6.37935E+11,0.75,1,12.5,34.99,1
2017-09-04 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,369264,BARSAC CHATEAU CLIMENS 2014,,0.375,1,13,70,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,390849,CABERNET SAUVIGNON - CAYMUS NAPA,17224799108,0.75,1,14.9,111.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Asian Spirits,China Spirits,CHINA,399865,1573  NATIONAL CELLAR -,6.9018E+12,0.5,1,52,257.99,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,Australia Wine,Australia Red Wine,AUSTRALIA,405076,SHIRAZ - TYRRELL'S OLD WINERY,93452405004,0.75,1,14.5,16.97,0
2023-09-03 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Rum,White Rum,CANADA,1438,CAPTAIN MORGAN,87000150300,1.14,1,40,34.49,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,27613,CHATEAU MALARTIC LAGRAVIERE BLANC 2015,3.41947E+12,0.75,1,14,90,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,47384,HOYNE BREWING - FOUR FINE FRIENDS MIX PACK CAN,6.2699E+11,0.355,12,6,27.29,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,South Africa Wine,South Africa Rose Wine,SOUTH AFRICA,56633,CINSAULT ROSE - FISH HOEK,5.01013E+12,0.75,1,12,13.99,1
2022-07-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC White Wine,CANADA,92968,CHECKMATE - ATTACK CHARDONNAY 2017,7.76546E+11,0.75,1,13.9,105.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,97372,MARGAUX - CHATEAU FERRIERE 2018,3.60905E+12,0.75,1,13,110,NA
2021-07-25 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,97538,ST ESTEPHE - CHATEAU PHELAN SEGUR 2018,,0.75,1,13,110,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Asian Spirits,Other Country Asian Spirits,JAPAN,107381,CHOYA - GOLD EDITION,4.90585E+12,0.5,1,19,205.99,NA
2021-07-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,143001,MOULIS - CHATEAU MAUCAILLOU 2018,3.76006E+12,0.75,1,13,60,NA
2019-09-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Fortified Wine,Port Wine,PORTUGAL,194840,VINTAGE PORT - DOW'S 2017,5.60831E+12,0.75,1,20,135.99,10
2016-05-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,290965,PAUILLAC - CHATEAU LYNCH BAGES 2010,3.76002E+12,0.75,1,13,269.99,NA
2017-09-15 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,300186,CHATEAU ANGELUS 2014,7.14153E+11,0.75,1,14.5,480,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Australia Wine,Australia Red Wine,AUSTRALIA,340075,SHIRAZ VIOGNIER - QUARISA JOHNNY Q,9.33774E+12,0.75,1,14,15.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Champagne Wine,FRANCE,352716,LOUIS ROEDERER - CRISTAL ROSE 2014,3.11408E+12,0.75,1,12,825,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Spirit Coolers,CANADA,354013,CUTWATER - PALOMA CAN,62067421778,0.355,1,7,3.99,NA
2023-11-08 0:00,9999-12-31 0:00,RETAIL,COU,Refreshment Beverages,Cider,Domestic Cider,CANADA,383359,LONETREE - BLACK CURRANT CAN,6.96852E+11,0.355,6,5.5,13.79,NA
2021-10-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,388862,BOURGOGNE PINOT NOIR - ROSSIGNOL FEVRIER ORGANIC 2018,3.76016E+12,0.75,1,13,44.99,NA
2022-10-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,392702,ST JULIEN - LES FIEFS DE LAGRANGE 2019,3.76017E+12,0.75,1,14,70,NA
2022-11-25 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,396141,PAUILLAC - CHATEAU LATOUR 2014,3.41295E+12,0.75,1,13,1500,0
2022-11-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,528554,COTE DE NUITS VILLAGES - JOSEPH DROUHIN,12086527012,0.75,1,13.5,59.99,0
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,62263,STEAMWORKS - MASH-UP CAN MIX PACK,1.85902E+11,0.355,12,4.9,23.99,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,109570,TAMNAVULIN - DOUBLE CASK SPEYSIDE SINGLE MALT SCOTCH WHISKY,87647113836,0.75,1,40,59.99,NA
2023-06-04 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Spain Wine,Spain Red Wine,SPAIN,115179,VINOS DE MADRID - LAS MORADAS DE SAN MARTIN INITIO,6.57258E+11,0.75,1,14.5,39.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,168641,SANDHILL - CABERNET MERLOT 2021,58976013425,0.75,1,14.5,22.99,0
2023-09-03 0:00,9999-12-31 0:00,RETAIL,COU,Beer,Domestic - BC Beer,Domestic - BC Regional Beer,CANADA,173570,DRIFTWOOD BREWERY - SWASH BOX HOPPY VARIETY PACK TALL CAN,6.28202E+11,0.473,8,6.4,23.29,NA
2023-10-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,236740,CRAIGELLACHIE - 17 YEAR OLD,80480005399,0.75,1,46,204.99,NA
2023-07-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,382042,MARGAUX - CHATEAU MARGAUX 2020,,0.75,1,13,1600,NA
2022-11-16 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,390829,PAUILLAC - CHATEAU HAUT BATAILLEY 2019,3.60905E+12,0.75,1,14,150,NA
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,USA Wine,USA White Wine,UNITED STATES OF AMERICA,421644,CHARDONNAY - CHATEAU ST JEAN CALIFORNIA 2020,89819055098,0.75,1,13.5,19.49,0
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,443730,CROZES ERMITAGE - CHAPOUTIER LES VARONNIERS 2019,3.39118E+12,0.75,1,14.5,92.99,0
2023-07-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Spain Wine,Spain Red Wine,SPAIN,477466,RIOJA - CAMPILLO GRAN RESERVA,8.42046E+12,0.75,1,14,52.99,0
2023-04-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,579854,SHIRAZ - SCREW IT!,7.76546E+11,4,1,13.5,41.99,1
2022-10-02 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Other Country Wine,Other Country Fruit and Dessert Wine,KOREA - SOUTH,590737,SEOL JOONG MAE - PLUM LIQUEUR,6.2699E+11,0.375,1,14,14.99,1
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,ITALY,601484,AMARO - MONTENEGRO,8.00033E+12,0.75,1,23,41.99,NA
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,611772,MALBEC CABERNET - FINCA LOS PRIMOS,7.7907E+12,1,1,14.3,14.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Chile Wine,Chile White Wine,CHILE,813576,SAUVIGNON BLANC - CONO SUR ORGANIC,7.80432E+12,0.75,1,13.5,16.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,2527,BORDEAUX BLANC - MOUTON CADET,83960144045,0.75,1,12.5,18.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Wine/Fruit Coolers,UNITED STATES OF AMERICA,62560,BAREFOOT - FRUITSCATO STRAWBERRY,85000029015,0.75,1,7.5,11.29,NA
2021-08-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,123057,ST ESTEPHE - LA DAME DE MONTROSE 2018,,0.75,1,13,100,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,128710,MENDOZA RED - CLOS DE LOS SIETE,3.25869E+12,0.75,1,14.5,29.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,South Africa Wine,South Africa White Wine,SOUTH AFRICA,161632,PINOT GRIGIO - SECRET CELLAR,6.00111E+12,0.75,1,12.5,10.99,1
2023-03-05 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Spain Wine,Spain Red Wine,SPAIN,197806,CARINENA GARNACHA - CASTILLO DE MONSERAN,8.31906E+11,0.75,1,14.5,14.99,0
2017-09-13 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,374447,CHATEAU MOUTON ROTHSCHILD PAUILLAC 2014,3.38812E+12,1.5,1,13,1800,NA
2023-11-26 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Rum,Amber Rum,CANADA,443903,HAVANA CLUB - ANEJO RESERVA,8.50111E+12,0.75,1,40,29.49,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,530717,TINHORN CREEK - CABERNET FRANC 2021,6.24803E+11,0.75,1,12.1,27.99,0
2023-04-30 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Bourbon Whiskey,UNITED STATES OF AMERICA,531690,OLD FORESTER - 1920 WHISKEY ROW SERIES,81128001155,0.75,1,57.5,92.99,NA
2023-09-24 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,795534,SAINT BRIS SAUVIGNON - CAVES BAILLY-LAPIERRE,6.96852E+11,0.75,1,12,29.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC White Wine,CANADA,5934,WAYNE GRETZKY OKANAGAN - PINOT GRIGIO 2022,6.27167E+11,0.75,1,13.5,16.99,0
2021-05-08 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,59202,CORTON BRESSANDES GRAND CRU - CHANDON DE BRIAILLES 2017,3.7601E+12,0.75,1,13,249.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Spirits,Liqueurs,Fruit Liqueurs,CANADA,121293,MALIBU - PINEAPPLE,89540536156,0.75,1,21,23.97,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,142965,ST JULIEN - CHATEAU LEOVILLE LAS CASES 2018,3.70137E+12,0.75,1,13,550,NA
2021-08-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,143382,PAUILLAC - CARRUADES DE LAFITE 2018,,0.75,1,13,550,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Spirit Coolers,CANADA,145596,AMERICAN VINTAGE - ICED TEA BARELY SWEET ORIGINAL CAN,62067375194,0.355,6,6,13.49,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,148500,VANESSA VINEYARD - MERITAGE,6.2699E+11,1.5,1,15.6,135.99,0
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,149565,DARK HORSE VINEYARD - CABERNET FRANC 2016,63657040201,0.75,1,14.5,45.99,0
2017-09-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,187039,CHATEAU PAVIE 2014,6.2699E+11,0.75,1,13,525,0
2020-08-15 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,196910,PAUILLAC - CHATEAU DUHART MILON 2017,6.2699E+11,0.75,1,13,160,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,211579,SAVIGNY LES BEAUNE - ALBERT BICHOT 2020,87113114909,0.75,1,13,67.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy White Wine,ITALY,226030,PROVINCIA DI PAVIA - PINOT GRIGIO ANGELO,8.05568E+12,0.75,1,12,10.99,0
