PRICING_EFFECTIVE_DATE,PRICING_END_DATE,SALES_CHANNEL_TYPE,CUSTOMER_TYPE_CODE,ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Ice Wine,CANADA,597104,JACKSON TRIGGS - RESERVE RIESLING ICEWINE 2017,63657005750,0.375,1,10,49.99,10
2023-04-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,612846,BOLGHERI - IL BRUCIATO - QUADO AL TASSO,8.00194E+12,1.5,1,14,135.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Spain Wine,Spain Red Wine,SPAIN,32786,RIBERA DEL DUERO - CALLEJO MAJUELOS DE CALLEJO 2020,8.42279E+12,0.75,1,14.5,70.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Australia Wine,Australia Fruit and Dessert Wine,AUSTRALIA,42997,SEPPELTSFIELD - PARA TAWNY 100 YEAR OLD VINTAGE 1921 FORTIFI,9.34091E+12,0.375,1,22,2550.49,3
2021-08-08 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,54145,PAUILLAC - CARRUADES DE LAFITE 2018,,0.75,1,13,550,NA
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Tequila,Blanco/Silver Tequila,MEXICO,77321,DON JULIO - BLANCO,6.74545E+11,0.75,1,40,89.99,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Blended Malt Scotch Whisky,UNITED KINGDOM,86549,SHETLAND REEL - FINISHED IN SHETLAND BLENDED MALT SCOTCH,5.0604E+12,0.7,1,47,90.99,NA
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,American Whiskey,UNITED STATES OF AMERICA,96613,WOODFORD RESERVE - MASTERS COLLECTION AMERICAN OAK,81128002220,0.75,1,45.2,145.99,NA
2024-01-28 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France White Wine,FRANCE,229462,MUSIGNY BLANC - COMTE GEORGE DE VOGUE 2020,3.76001E+12,0.75,1,13,1450,0
2022-10-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,234347,CABERNET SAUVIGNON - AUSTIN HOPE PASO ROBLES 2020,6.57892E+11,0.75,1,15.5,73.99,0
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Chile Wine,Chile Rose Wine,CHILE,237251,ROSE - ISLA NEGRA WEST BAY,7.80432E+12,0.75,1,12,12.99,0
2023-10-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,249549,CHIANTI RUFINA RISERVA - MONTESODI FRESCOBALDI,8.00743E+12,0.75,1,14.5,64.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,360883,CALIFORNIA RED - FOLIE A DEUX MENAGE A TROIS,99988971099,0.75,1,13.5,19.99,0
2022-11-09 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,392749,COTES DE BORDEAUX - CHATEAU D'AIGUILHE 2019,6.96852E+11,0.75,1,13,50,NA
2023-11-26 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy White Wine,ITALY,457945,VERMENTINO DI SARDEGNA - ARGIOLAS COSTAMOLINO 2022,8.01054E+12,0.75,1,14,21.99,0
2022-10-20 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Champagne Wine,FRANCE,544940,NICOLAS FEUILLATTE - CUVEE PALMES D'OR 1998,3.28295E+12,1.5,1,12,449.99,0
2019-05-29 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Fortified Wine,Port Wine,PORTUGAL,879486,TAYLOR FLADGATE - QUINTA DE VARGELLAS VINTAGE 1988,5.01363E+12,0.375,1,20.05,45.99,10
2016-09-16 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,941989,CHATEAU MOUTON ROTHSCHILD 2013,,0.75,1,13,750,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,CANADA,13097,SLACKWATER BREWING - IDLEBACK AMBER TALL CAN,6.28193E+11,0.473,4,5.5,13.79,NA
2021-10-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Italy Wine,Italy Red Wine,ITALY,75549,BRUNELLO DI MONTALCINO RISERVA - SAN POLO 2015,6.2699E+11,0.75,1,14.2,289.99,0
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Wine,Portugal Wine,Portugal Red Wine,PORTUGAL,150014,DAO - ADEGA DE PENALVA,5.60647E+12,0.75,1,12.5,14.49,0
2023-07-30 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Spain Wine,Spain Red Wine,SPAIN,155526,PRIORAT - ALVARO PALACIOS GRATALLOPS VI DE VILA,8.42907E+12,0.75,1,14.5,73.99,0
2023-04-01 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Asian Spirits,China Spirits,CHINA,159015,SHUI JING FANG - WELLBAY,6.90168E+12,0.75,1,52,241.99,NA
2022-11-27 0:00,9999-12-31 0:00,RETAIL,COU,Wine,South Africa Wine,South Africa Red Wine,SOUTH AFRICA,161623,SHIRAZ CABERNET SAUVIGNON - THE WHALE CALLER,6.00111E+12,0.75,1,13,8.97,1
2023-12-31 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Spain Wine,Spain Red Wine,SPAIN,296426,CAMPO DE BORJA GARNACHA - BORSAO,8.41242E+12,0.75,1,14.5,15.99,0
2023-07-16 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,374871,MARSANNAY - CHATEAU DE MARSANNAY LONGEROIES,3.6614E+12,0.75,1,13,98.99,0
2023-08-18 0:00,9999-12-31 0:00,RETAIL,COU,Spirits,Whisky,Single Malt Scotch Whisky,UNITED KINGDOM,377917,GLENFARCLAS - FAMILY CASK 1991 S22 CASK 5679,5.01807E+12,0.7,1,55.6,1600,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Rose Wine,CANADA,387299,IMBZZL OLIVER - RUSE ROSE,63657043189,0.75,1,13.9,21.99,0
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC White Wine,CANADA,601310,JACKSON TRIGGS PROPRIETORS SELECTION RIESLING GEWURZTRAMINER,63657034606,4,1,12.5,43.99,1
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Spirits,Grape and Fruit Brandy,Brandy,CANADA,4176,D'EAUBONNE - V.S.O.P.,48415387453,0.75,1,40,23.99,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Fortified Wine,Vermouth Wine,ITALY,9779,MARTINI - BIANCO,11034430046,1,1,15,13.99,7
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,50050,PESSAC LEOGNAN - CHATEAU HAUT BRION ROUGE 2018,3.25869E+12,0.75,1,13,1500,NA
2021-08-23 0:00,9999-12-31 0:00,RETAIL,COU,Wine,France Wine,France Red Wine,FRANCE,97940,ST JULIEN - CHATEAU SAINT PIERRE 2018,,0.75,1,13,145,NA
2024-03-03 0:00,9999-12-31 0:00,RETAIL,COU,Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,149636,ZINFANDEL - 1000 STORIES BOURBON BARREL SMALL BATCH 2020,82896001453,0.75,1,14.5,29.99,1
2024-03-03 0:00,2024-03-31 0:00,RETAIL,COU,Refreshment Beverages,Coolers,Spirit Coolers,CANADA,178627,HEY Y'ALL - ORIGINAL HARD ICED TEA TALL CAN,6.2699E+11,0.458,1,5,2.99,NA
2021-08-01 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Germany Wine,Germany White Wine,GERMANY,199930,RIESLING - DR LOOSEN WEHLENER SONNENUHR GG ALTE REBEN 15,8.10404E+11,0.75,1,12.5,46.99,1
2022-03-06 0:00,9999-12-31 0:00,RETAIL,COU,Wine,Canada - BC,Canada - BC Red Wine,CANADA,227697,MISSION HILL FAMILY ESTATE - QUATRAIN 2016,7.76546E+11,0.75,1,14.6,85.99,0
